date,operator,type,location,deaths by operator
03/27/1977,Pan American,Boeing 747,"Canary Islands, Spain",583
08/12/1985,Japan Air Lines,Boeing 747, Japan,520
11/12/1996,Saudi Arabian Airlines / Kazastan Airlines,Boeing 747, India,349
03/03/1974,Turkish Airlines (THY),Douglas C-10, France,346
06/23/1985,Air India,Boeing 747,Ireland,329
08/19/1980,Saudi Arabian Airlines,Lockheed L-1011, Saudi Arabia,301
07/03/1988,Iran Air,Airbus A300, Iran,290
02/19/2003,Military - IslamiRevolution's Guards Corps,Ilyushin Il-76MD, Iran,275
05/25/1979,American Airlines,Douglas C-10,"Illinois, United States",271
09/01/1983,Korean Airlines,Boeing 747, Russia,269
04/26/1994,China Airlines (Taiwan),Airbus A300, Japan,264
07/11/1991,Nationair (chartered by Nigeria Airways),Douglas DC-8, Saudi Arabia,261
11/12/2001,American Airlines,Airbus A300,"New York, United States",260
12/21/1988,Pan American,Boeing 747, Scotland,259
11/28/1979,Air New Zealand,Douglas C-10, Antarctica,257
12/12/1985,Arrow Airways,Douglas DC-8, Canada,256
10/28/1984,Military - Russian Air Force,Antonov AN-2, Afghanistan,240
09/26/1997,Garuda Indonesia Airlines,Airbus A300, Indonesia,234
07/17/1996,Trans World Airlines,Boeing 747,"New York, United States",230
09/02/1998,Swissair,Douglas MD-11, Canada,229
08/06/1997,Korean Airlines,Boeing 747, Guam,229
06/01/2009,Air France,Airbus A330, Brazil,228
05/25/2002,China Airlines (Taiwan),Boeing 747, Taiwan,225
05/26/1991,Lauda Air,Boeing 767, Thailand,223
10/31/1999,EgyptAir,Boeing 767,"Massachusetts, United States",217
01/01/1978,Air India,Boeing 747, India,213
07/10/1985,Aeroflot,Tupolev TU-154, USSR,200
02/16/1998,China Airlines (Taiwan),Airbus A300, Taiwan,196
12/04/1974,Martinair Holland NV,Douglas DC-8, Sri Lanka,191
02/06/1996,"Alas Nacionales, leased from Birgen Air",Boeing 757, Domincan Republic,189
08/03/1975,Alia Royal Jordanian Airlines,Boeing 707, Morocco,188
07/17/2007,TAM (Brazil),Airbus A320, Brazil,187
05/09/1987,LOT Polish Airlines,Ilyushin IL-62M, Poland,183
11/15/1978,Loftleidir IcelandiAirlines,Douglas DC-8, Sri Lanka,183
11/27/1983,AVIANCA,Boeing 747, Spain,181
12/01/1981,Inex Adria Aviopromet (Yugoslavia),Douglas MD-81, France,180
08/11/1979,Aeroflot / Aeroflot,Tupolev TU-134, USSR,178
06/07/1989,Surinam Airways,Douglas DC-8, Surinam,176
01/22/1973,Alia Royal Jordanian Airlines,Boeing 707, Nigeria,176
09/10/1976,Inex Adria Aviopromet / British Airways,Douglas DC-9, Yugoslavia,176
10/13/1972,Aeroflot,Ilyushin IL-62, USSR,174
10/11/1984,Aeroflot,Tupolev TU-154, Russia,174
09/19/1989,Union des Transportes Aeriens,Douglas C-10, Niger,171
08/22/2006,Pulkovo Airlines,Tupolev TU-154, Ukraine,170
01/30/2000,Kenya Airways,Airbus A310, Ivory Coast,169
09/28/1992,Pakistan International Airlines,Airbus A300, Nepal,167
03/31/1986,Mexicana,Boeing 727, Mexico,167
07/07/1980,Aeroflot,Tupolev TU-154, USSR,166
07/30/1971,All Nippon Airways /  Japanese Air Force,Boeing 727, Japan,163
08/16/2005,West Caribbean Airways,Douglas MD-82, Venezuela,160
