aircraft model,deaths by model
Tupolev TU-104,1203
Tupolev TU-154,889
Boeing 747,859
Douglas C-47,780
Lockheed C-130,751
Antonov AN-24,744
Ilyushin IL-18B,598
Boeing 747,542
Douglas C-54,525
Boeing 747,520
Boeing 747,513
Boeing 707,489
Tupolev TU-134,483
Airbus A300,460
Antonov AN-10,458
Yakovlev YAK-40,457
Douglas C-124,431
Boeing 707,367
Boeing 707,364
Tupolev TU-124,358
Boeing 747,349
Douglas C-10,346
Lockheed L-1011,303
Boeing Vertol CH-47,302
Boeing 737,298
Airbus A300,290
Lockheed C-130,283
Ilyushin Il-76MD,275
Antonov AN-2,273
Boeing 707,272
Douglas C-10,271
Douglas DC-8,261
Airbus A300,261
Ilyushin IL-18,260
Douglas C-10,257
Douglas DC-8,256
Boeing 727,254
Lockheed C-130,243
Douglas DC-6,243
Boeing 727,241
Douglas C-47,235
Airbus A300,234
Boeing KC-135,232
Boeing 747,230
Boeing 747,230
Douglas MD-11,229
Airbus A330,228
Boeing 757,224
Boeing 767,223
Boeing 767,217
