aircraft model,operator,total deaths
Tupolev TU-104,Aeroflot,1203
Tupolev TU-154,Aeroflot,889
Boeing 747,Pan American,859
Douglas C-47,Military - U.S,780
Lockheed C-130,Military - U.S,751
Antonov AN-24,Aeroflot,744
Ilyushin IL-18B,Aeroflot,598
Boeing 747,Air India,542
Douglas C-54,Military - U.S,525
Boeing 747,Japan Air Lines,520
Boeing 747,Korean Airlines,513
Boeing 707,Pan American,489
Tupolev TU-134,Aeroflot,483
Airbus A300,China Airlines (Taiwan),460
Antonov AN-10,Aeroflot,458
Yakovlev YAK-40,Aeroflot,457
Douglas C-124,Military - U.S,431
Boeing 707,Air France,367
Boeing 707,Alia Royal Jordanian Airlines,364
Tupolev TU-124,Aeroflot,358
Boeing 747,Saudi Arabian Airlines / Kazastan Airlines,349
Douglas C-10,Turkish Airlines (THY),346
Lockheed L-1011,Saudi Arabian Airlines,303
Boeing Vertol CH-47,Military - U.S,302
Boeing 737,Indian Airlines,298
Airbus A300,Iran Air,290
Lockheed C-130,Military - Iranian Air Force,283
Ilyushin Il-76MD,Military - IslamiRevolution's Guards Corps,275
Antonov AN-2,Military - Russian Air Force,273
Boeing 707,Varig,272
Douglas C-10,American Airlines,271
Douglas DC-8,Nationair (chartered by Nigeria Airways),261
Airbus A300,American Airlines,261
Ilyushin IL-18,Aeroflot,260
Douglas C-10,Air New Zealand,257
Douglas DC-8,Arrow Airways,256
Boeing 727,AVIANCA,254
Lockheed C-130,Military - Indonesian Air Force,243
Douglas DC-6,United Air Lines,243
Boeing 727,Iberia,241
Douglas C-47,Military - U.K.,235
Airbus A300,Garuda Indonesia Airlines,234
Boeing KC-135,Military - U.S,232
Boeing 747,China Airlines (Taiwan),230
Boeing 747,Trans World Airlines,230
Douglas MD-11,Swissair,229
Airbus A330,Air France,228
Boeing 757,American Airlines,224
Boeing 767,Lauda Air,223
Boeing 767,EgyptAir,217
