aircraft model,operator,total deaths
Tupolev TU-104,Aeroflot,1203
Tupolev TU-154,Aeroflot,889
Boeing 747,Pan American,859
Antonov AN-24,Aeroflot,744
Ilyushin IL-18B,Aeroflot,598
Boeing 747,Air India,542
Boeing 747,Japan Air Lines,520
Boeing 747,Korean Airlines,513
Boeing 707,Pan American,489
Tupolev TU-134,Aeroflot,483
Airbus A300,China Airlines (Taiwan),460
Antonov AN-10,Aeroflot,458
Yakovlev YAK-40,Aeroflot,457
Boeing 707,Air France,367
Boeing 707,Alia Royal Jordanian Airlines,364
Tupolev TU-124,Aeroflot,358
Boeing 747,Saudi Arabian Airlines / Kazastan Airlines,349
Douglas C-10,Turkish Airlines (THY),346
Lockheed L-1011,Saudi Arabian Airlines,303
Boeing 737,Indian Airlines,298
Airbus A300,Iran Air,290
Boeing 707,Varig,272
Douglas C-10,American Airlines,271
Douglas DC-8,Nationair (chartered by Nigeria Airways),261
Airbus A300,American Airlines,261
Ilyushin IL-18,Aeroflot,260
Douglas C-10,Air New Zealand,257
Douglas DC-8,Arrow Airways,256
Boeing 727,AVIANCA,254
Douglas DC-6,United Air Lines,243
Boeing 727,Iberia,241
Airbus A300,Garuda Indonesia Airlines,234
Boeing 747,China Airlines (Taiwan),230
Boeing 747,Trans World Airlines,230
Douglas MD-11,Swissair,229
Airbus A330,Air France,228
Boeing 757,American Airlines,224
Boeing 767,Lauda Air,223
Boeing 767,EgyptAir,217
Airbus A310,Thai Airways,215
Douglas DC-8,Alitalia,209
Douglas DC-8,Japan Air Lines,207
Ilyushin IL-18D,Aeroflot,202
Boeing 727,Turkish Airlines (THY),201
Boeing 727,Mexicana,194
Douglas DC-8,Martinair Holland NV,191
Lockheed L-188,Lineas Aereas Nacionales SA (Peru),190
Tupolev TU-134,Aeroflot / Aeroflot,189
Boeing 757,"Alas Nacionales, leased from Birgen Air",189
Airbus A320,TAM (Brazil),187
