type,operator,date,location,summary,total ground casualties
Boeing 767,American Airlines,09/11/2001,"New York, United States","The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the north tower of the World Trade Center between the 94th and 99th floors at approximately 450 mph.  After 102 minutes, the building collapsed. It was one of four planes that were hijacked the same day.",2750
Boeing 767,United Air Lines,09/11/2001,"New York, United States","The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the south tower of the World Trade Center between the 78th and 84th floors at approximately 550 mph. After 56 minutes, the building collapsed. It was one of four planes that were hijacked the same day.",2750
Antonov AN-32,African Air,01/08/1996, Zaire,"The aircraft failed to gain altitude after taking off from N'Dolo Airport and ran off the runway and crashed into a market square. The plane was overloaded by 595 lbs. The aircraft certification was revoked and crew did not have authorization to fly. The number killed on the ground varies widely from different sources. The number of fatalities, 225, is derived from the publication Weekly Mail and Guardian in an article covering the court trial of the pilots, charging them with the deaths of 225 people. Some sources quote as many as 350 died.",225
Boeing 757,American Airlines,09/11/2001,"Virginia, United States",The aircraft was hijacked after taking off from Dulles International Airport. The hijackers took control of the aircraft and deliberately crashed it into the Pentagon. It was one of four planes that were hijacked the same day.,125
Boeing 707,Lloyd Aéreo Boliviano,10/13/1976, Bolivia,"The aircraft failed to climb and crashed into trees, poles and houses at the end of the runway and came to rest in a soccer field 560 meters beyond the runway. The failure of the crew to select enough thrust to achieve the necessary acceleration. Crew fatigue.",113
Canadair CL-44D4-1,Flying Tiger Line,12/24/1966, Vietnam,The cargo plane undershot runway by 1 mile while making a radar approach in fog at night. Crashed into numerous thatched roof houses.,107
BAC One-Eleven 525FT,EAS Airlines (Executive Airline Services),05/04/2002, Nigeria,"The aircraft crashed into houses, two mosques and a school in the densely populated neighborhood of Gwammaja, approximately  1.2 miles from Kano International Airport, shortly after taking off. There were reports of an engine failure and  fire during the takeoff.",75
Douglas DC-9,Venezolana Internacional de Aviacion,03/16/1969, Venezuela,"Seconds after becoming airborne, the aircraft struck electrical power lines and crashed into houses in the La Trinidad section of the city. Takeoff calculations made from erroneous information. Faulty temperature sensor along the runway. San Francisco Giants pitcher Nestor Chavez, 22,  killed.",70
Boeing 377,Belize Air International Ltd.,07/30/1987, Mexico,The cargo plane crashed on a roadway into a restaurant after taking off  in adverse weather conditions. Overloaded. Cargo shifted on takeoff.,54
de Havilland 110,Private - de Havilland Aircraft,09/06/1952, England,"One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled.",52
Douglas DC-8,AECA Cargo,09/18/1984, Ecuador,"While taking off, the cargo plane was unable to gain altitude and crashed into buildings at the end of the runway. Improper calculation of center of gravity, load distribution and maximum takeoff weight for existing runway and weather conditions.",49
Boeing 747,El Al,10/04/1992, Netherlands,"Shortly after taking off from Schiphol Airport, while climbing through 6,500 feet, the No. 3 engine separated with its pylon from the aircraft and damaged the leading edge of the right wing. The No. 3 engine separated in such a way that the No. 4 engine and pylon also separated from the wing. During an attempted return to the airport, the aircraft crashed into a 11 story building in the Bijlmermeer residential district. The design and certification of the B-747 pylon was found to be inadequate to provide the required level of safety. The system to ensure structural integrity by inspection failed. The separation of the No. 3 engine was initiated by fatigue (corrosion) in the inboard midspar fuse pin. This led to loss of the No. 4 engine and pylon and damage to several systems which ultimately led to loss of control of the aircraft.",47
Douglas DC-9,Hewa Bora Airways,04/15/2008, Congo,"While attempting to takeoff, the plane failed to reach takeoff speed, overran the runway, proceeded through a perimeter fence and cashed into a crowded market.",47
Ilyushin IL-62M,Cubana de Aviacion,09/03/1989, Cuba,The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision to fly after an abrupt deterioration in weather conditions.,45
Boeing 737,Mandala Airlines,09/05/2005, Indonesia,"Seconds after taking off the jetliner shook violently, veered to the left and crashed into a residential neighborhood 500 yards past the end of the runway.",44
Hawker Siddeley Trident 2E,CAAC,03/14/1979, China,The aircraft crashed into a factory after being stolen and flown by pilot who was not qualified to fly.,32
Antonov AN-26,Africa One Congo,10/04/2007, DR Congo,"While attempting to take off, the cargo plane crashed into a Congolese neighborhood and caught fire about three miles from the airport. The plane's mechaniwas the only survivor aboard the plane.",30
Boeing 707,Million Air,10/22/1996, Ecuador,"The cargo plane, carrying flowers and frozen fish crashed into the Dolorosa district, bursting into flames shortly after taking off. One engine caught fire during the climb-out.",30
