type,operator,date,location,summary,total ground casualties
Boeing 767,American Airlines,09/11/2001,"New York, United States","The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the north tower of the World Trade Center between the 94th and 99th floors at approximately 450 mph.  After 102 minutes, the building collapsed. It was one of four planes that were hijacked the same day.",2750
Boeing 767,United Air Lines,09/11/2001,"New York, United States","The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the south tower of the World Trade Center between the 78th and 84th floors at approximately 550 mph. After 56 minutes, the building collapsed. It was one of four planes that were hijacked the same day.",2750
Antonov AN-32,African Air,01/08/1996, Zaire,"The aircraft failed to gain altitude after taking off from N'Dolo Airport and ran off the runway and crashed into a market square. The plane was overloaded by 595 lbs. The aircraft certification was revoked and crew did not have authorization to fly. The number killed on the ground varies widely from different sources. The number of fatalities, 225, is derived from the publication Weekly Mail and Guardian in an article covering the court trial of the pilots, charging them with the deaths of 225 people. Some sources quote as many as 350 died.",225
Boeing 757,American Airlines,09/11/2001,"Virginia, United States",The aircraft was hijacked after taking off from Dulles International Airport. The hijackers took control of the aircraft and deliberately crashed it into the Pentagon. It was one of four planes that were hijacked the same day.,125
Boeing 707,Lloyd Aéreo Boliviano,10/13/1976, Bolivia,"The aircraft failed to climb and crashed into trees, poles and houses at the end of the runway and came to rest in a soccer field 560 meters beyond the runway. The failure of the crew to select enough thrust to achieve the necessary acceleration. Crew fatigue.",113
Canadair CL-44D4-1,Flying Tiger Line,12/24/1966, Vietnam,The cargo plane undershot runway by 1 mile while making a radar approach in fog at night. Crashed into numerous thatched roof houses.,107
Vickers Viscount 754D,Middle East Airlines / Military - Turkish Air ForceC-47,02/01/1963, Turkey,"Midair collision between a civilian and military aircraft. Both planes crashed into a heavily populated area destroying buildings, houses and vehicles. Fourteen killed on the Viscount, three on the C-47 and 87 on the ground. Cause attributed to a military flight training zone extending into the approach pattern associated with civilian aircraft. The Viscount aircraft had an IFR flight plan but was cruising under VFR conditions and did not see the C-47 until it was too late.",87
Sukhoi Su-27,Military - Ukraine Air Force,07/27/2002, Ukraine,The Su-76 was performing aerobatics when it crashed into crowd of spectators at an air show at Skniliv Airport in the Ukraine. The aircraft had just performed a steep turn when it appeared to tumble and enter a steep dive from which it failed to recover. The two pilots parachuted to safety.  Pilot error. The pilots ignored their flight plans and performed untried and complicated maneuvers which led to a loss of control. Both received a jail sentence of 14 years.,85
BAC One-Eleven 525FT,EAS Airlines (Executive Airline Services),05/04/2002, Nigeria,"The aircraft crashed into houses, two mosques and a school in the densely populated neighborhood of Gwammaja, approximately  1.2 miles from Kano International Airport, shortly after taking off. There were reports of an engine failure and  fire during the takeoff.",75
Douglas DC-9,Venezolana Internacional de Aviacion,03/16/1969, Venezuela,"Seconds after becoming airborne, the aircraft struck electrical power lines and crashed into houses in the La Trinidad section of the city. Takeoff calculations made from erroneous information. Faulty temperature sensor along the runway. San Francisco Giants pitcher Nestor Chavez, 22,  killed.",70
Aermacchi MB-339PAN (3 aircraft),Military - Italian Air Force,08/28/1988,Germany,Seventy people were killed on the ground when three out of ten jet aircraft of the Italian air team 'Frecce Tricolori' crashed while performing at an air show at the Ramstein Air Base.,70
Consolidated B-24,Military - U.S,08/01/1943, Romania,Crashed into a women's prison after being hit by anti-aircraft fire while on a bombing run.,63
Consolidated B-24H,Military - U.S,08/23/1944, England,The bomber crashed into a school and a cafe while attempting to land at Warton Air Depot in poor weather. The crash occurred during a thunderstorm with heavy rain and winds. Windshear.,58
Boeing 377,Belize Air International Ltd.,07/30/1987, Mexico,The cargo plane crashed on a roadway into a restaurant after taking off  in adverse weather conditions. Overloaded. Cargo shifted on takeoff.,54
de Havilland 110,Private - de Havilland Aircraft,09/06/1952, England,"One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled.",52
Curtiss-Wright Hawk,Military - Colombian Army,07/24/1938,Colombia,One aircraft from a squadron performing aerobatics before a large crowd crashed into the grandstands. A gust of wind caused the aircraft to lose control during a looping maneuver.,52
MiG-23,Military - Indian Air Force,03/01/1990, India,"After the pilot ejected safely, the aircraft crashed into two trucks killing 50 people on the ground.",50
Douglas DC-8,AECA Cargo,09/18/1984, Ecuador,"While taking off, the cargo plane was unable to gain altitude and crashed into buildings at the end of the runway. Improper calculation of center of gravity, load distribution and maximum takeoff weight for existing runway and weather conditions.",49
